#       k             kp                 O11                    O12                    O21                    O22          
   0.005125       4.229270         -8.789533e-08          1.216468e-07           2.540281e-13           -7.640552e-16     
   0.005125       4.367044         -8.896292e-08          1.133582e-07           2.527971e-13           -7.806921e-16     
   0.005125       4.506230         -8.885363e-08          1.043545e-07           2.490944e-13           -7.879821e-16     
   0.005125       4.646518         -8.756500e-08          9.492962e-08           8.417966e-16           -7.869672e-16     
   0.005125       4.787595         -8.513584e-08          8.537701e-08           9.077318e-16           -7.792223e-16     
   0.005125       4.929146         -8.164419e-08          7.597333e-08           9.606240e-16           -7.665542e-16     
   0.005125       5.070854         -7.720279e-08          6.696302e-08           9.989961e-16           -7.507233e-16     
   0.005125       5.212405         -7.195278e-08          5.854688e-08           1.021994e-15           -7.332658e-16     
   0.005125       5.353482         -6.605606e-08          5.087562e-08           1.029407e-15           -7.154126e-16     
   0.005125       5.493770         -5.968676e-08          4.404681e-08           1.021651e-15           -6.980658e-16     
   0.005125       5.632956         -5.302257e-08          3.810646e-08           9.996931e-16           -6.818057e-16     
   0.005125       5.770730         -4.623657e-08          3.305417e-08           9.649598e-16           -6.669172e-16     
   0.005125       5.906784         -3.949002e-08          2.885088e-08           9.192133e-16           -6.534297e-16     
   0.005125       6.040814         -3.292655e-08          2.542792e-08           8.644286e-16           -6.411692e-16     
   0.005125       6.172523         -2.666800e-08          2.269655e-08           8.026727e-16           -6.298169e-16     
   0.005125       6.301614         -2.081198e-08          2.055704e-08           7.360001e-16           -6.189690e-16     
   0.005125       6.427802         -1.543106e-08          1.890662e-08           6.663651e-16           -6.081933e-16     
   0.005125       6.550803         -1.057346e-08          1.764581e-08           5.955573e-16           -5.970767e-16     
   0.005125       6.670344         -6.264889e-09          1.668305e-08           5.251568e-16           -5.852612e-16     
   0.005125       6.786158         -2.511205e-09          1.593797e-08           4.565098e-16           -5.724680e-16     
   0.005125       6.897986         6.984434e-10           1.534285e-08           3.907201e-16           -5.585072e-16     
   0.005125       7.005579         3.387914e-09           1.484261e-08           3.286540e-16           -5.432782e-16     
   0.005125       7.108697         5.590781e-09           1.439449e-08           2.709565e-16           -5.267604e-16     
   0.005125       7.207109         7.347100e-09           1.396669e-08           2.180687e-16           -5.089983e-16     
   0.005125       7.300597         8.700393e-09           1.353670e-08           1.702572e-16           -4.900834e-16     
   0.005125       7.388951         9.695302e-09           1.308955e-08           1.276390e-16           -4.701348e-16     
   0.005125       7.471974         1.037555e-08           1.261615e-08           9.020903e-17           -4.492810e-16     
   0.005125       7.549482         1.078230e-08           1.211139e-08           5.786605e-17           -4.276422e-16     
   0.005125       7.621300         1.095317e-08           1.157308e-08           3.043634e-17           -4.053154e-16     
   0.005125       7.687269         1.092119e-08           1.100025e-08           7.695474e-18           -3.823605e-16     
   0.005125       7.747242         1.071429e-08           1.039223e-08           -1.061288e-17          -3.587869e-16     
   0.005125       7.801085         1.035490e-08           9.747774e-09           -2.476021e-17          -3.345385e-16     
   0.005125       7.848678         9.859265e-09           9.063763e-09           -3.501811e-17          -3.094738e-16     
   0.005125       7.889914         9.236623e-09           8.333964e-09           -4.164363e-17          -2.833350e-16     
   0.005125       7.924701         8.487697e-09           7.547294e-09           -4.486187e-17          -2.556917e-16     
   0.005125       7.952963         7.601125e-09           6.684229e-09           -4.483876e-17          -2.258277e-16     
   0.005125       7.974635         6.544732e-09           5.708790e-09           -4.162251e-17          -1.924749e-16     
   0.005125       7.989670         5.239356e-09           4.545414e-09           -3.497151e-17          -1.530365e-16     
   0.005125       7.998039         3.440354e-09           2.975869e-09           -2.356152e-17          -1.001156e-16     
   0.012579       0.000973         -8.465724e-16          -2.188572e-21          -3.672114e-19          4.558485e-29      
