AV18+UX
4He Total momentum distributions for all r     28 May 2022

    pair NNS momentum distribution calculated for
     101 q values from 0.001 to 10.000 fm-1 and
      26 Q values from 0.001 to  5.000 fm-1
    for pairs   1 to   6
    using  64 gauss points in r out to 16.00 fm
    using  32 gauss points in R out to  8.00 fm
    with Euler angle sampling
    integrated over all q.Q
    with partitions r <=  2.50 fm & r >  2.50

    total of     100000 samples in blocks of    100000

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  512.06
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  104.39
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
  Q(I)      RHOQNP       DRHOQNP        RHOQPP       DRHOQPP
 *****  *************  ***********  *************  **********
  .001  121001         301.41       28186          89.041
  .1    114090         276.28       26569          81.761
  .2     95954         216.1        22322          63.987
  .3     72663         149.72       16865          44.017
  .4     50221          95.983      11609          27.816
  .5     32172          59.391       7394.1        16.905
  .6     19402          36.341       4424.6        10.149
  .7     11172          22.049       2522           6.049
  .8      6218.8        13.17        1384.7         3.5506
  .9      3382.9         7.74         738.52        2.0494
 1        1817.3         4.5669       384.82        1.1931
 1.1       973.94        2.8655       196.33         .75175
 1.2       527.18        2.0606        97.921        .55128
 1.3       293.04        1.6967        47.493        .45967
 1.4       170.92        1.4833        22.157        .4005
 1.5       107.07        1.3049         9.7604       .34736
 1.6        73.277       1.1313         3.959        .29629
 1.7        54.861        .96668        1.468        .24946
 1.8        44.133        .81472         .56555      .20789
 1.9        37.085        .68027         .34771      .17207
 2          31.811        .56267         .37963      .14141
 2.1        27.505        .46106         .47924      .11554
 2.2        23.803        .37423         .57165      .093572
 2.3        20.539        .30148         .6298       .075222
 2.4        17.673        .24194         .65705      .060305
 2.5        15.2          .19449         .66632      .048475
 2.6        13.085        .15775         .66451      .039223
 2.7        11.275        .12906         .65282      .031898
 2.8         9.7212       .10648         .6317       .025983
 2.9         8.3782       .089046        .6016       .021308
 3           7.2081       .075578        .5633       .017663
 3.1         6.1853       .065089        .51908      .01487
 3.2         5.2957       .056846        .47232      .012734
 3.3         4.5271       .050301        .42596      .011125
 3.4         3.8652       .044951        .38161      .0098614
 3.5         3.2942       .040408        .33948      .0088421
 3.6         2.7999       .036369        .29942      .0079607
 3.7         2.3733       .032681        .2622       .0071776
 3.8         2.0078       .029261        .22881      .0064534
 3.9         1.6947       .026095        .19901      .0057889
 4           1.4247       .023142        .17184      .0051693
 4.1         1.1929       .020419        .14732      .0045992
 4.2          .99695      .017866        .12592      .0040452
