# 11B(3/2-) -- AV18+UX -- 06-Aug-21

#    nucleon  momentum distribution calculated
#    for 101 q values from 0.001 to 10.000 fm-1
#    using 200 gauss points in r out to 20.00 fm
#    with Euler angle sampling of particles inside r = 50.00 fm

#    total of       5000 samples in blocks of       500

# K = momentum in 1/fm
# RHOKN = neutron momentum distribution in fm**3
# DRHOKN = Monte Carlo error bar (1 sigma)
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKN*K**2:K)/(2*PI)**3 =  5.9999
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  4.9999

# number above K = 1.4 fm**-1
# 4*PI*TOTINT(RHOKN(I)*K(I)**2:K(I))/(2*PI)**3 =  .78904
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .72337

# Kinetic energy
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 =  178.56
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  158.46
#                                                   =  337.02

# Kinetic energy above K =  1.4 fm**-1
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN(I)*K(I)**4:K(I))/(2*PI)**3 =  106.35
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP(I)*K(I)**4:K(I))/(2*PI)**3 =   98.808
#                                                            =  205.16


#    K       RHOKN       DRHOKN      RHOKP       DRHOKP
# ******  ***********  *********  ***********  *********
  8.5      2.5738E-5  3.9105E-6    2.1184E-5  3.4587E-6
  8.6      2.1974E-5  3.8842E-6    1.8374E-5  3.3967E-6
  8.7      1.9125E-5  4.0644E-6    1.633E-5   3.3927E-6
  8.8      1.7148E-5  4.1286E-6    1.4917E-5  3.3404E-6
  8.9      1.597E-5   3.8833E-6    1.399E-5   3.1673E-6
  9        1.549E-5   3.4027E-6    1.342E-5   2.8973E-6
  9.1      1.5498E-5  2.9726E-6    1.3071E-5  2.6321E-6
  9.2      1.5646E-5  2.8326E-6    1.2792E-5  2.4541E-6
  9.3      1.5551E-5  2.859E-6     1.2439E-5  2.3343E-6
  9.4      1.4922E-5  2.7486E-6    1.1889E-5  2.1728E-6
  9.5      1.3653E-5  2.3867E-6    1.1063E-5  1.923E-6
  9.6      1.1847E-5  1.9511E-6    9.9538E-6  1.6545E-6
  9.7      9.7495E-6  1.8098E-6    8.6303E-6  1.5053E-6
  9.8      7.6613E-6  2.024E-6     7.2237E-6  1.5169E-6
  9.9      5.863E-6   2.2291E-6    5.8915E-6  1.5724E-6
 10        4.5651E-6  2.1937E-6    4.7788E-6  1.5712E-6
