#       k             kp                 O11                    O12                    O21                    O22          
   0.010250       7.862313        -3.666188e-101          2.546844e-101          5.973894e-108         -7.257808e-108     
   0.010250       8.309157        -4.930797e-155          3.467865e-155         -3.342000e-162         -2.290786e-162     
   0.010250       8.775393        -1.516082e-237          1.075194e-237         -3.961044e-244          1.309040e-244     
   0.010250       9.259982         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       9.761842         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       10.279853        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       10.812859        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       11.359671        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       11.919069        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       12.489804        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       13.070603        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       13.660171        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       14.257191        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       14.860331        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       15.468245        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       16.079578        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       16.692964        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       17.307036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       17.920422        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       18.531755        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       19.139669        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       19.742809        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       20.339829        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       20.929397        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       21.510196        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       22.080931        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       22.640329        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       23.187141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       23.720147        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       24.238158        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       24.740018        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       25.224607        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       25.690843        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.137687        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.564141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.969253        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       27.352120        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       27.711888        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.047753        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.358967        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.644834        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.904717        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.138036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.344270        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.522960        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.673706        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.796172        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.890085        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.955239        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.991501        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.025159       0.001947         -2.147681e-11          -1.477982e-15          1.886654e-13           1.113309e-19      
   0.025159       0.010250         -1.444430e-10          -3.226271e-13          1.552171e-12           2.077903e-17      
   0.025159       0.025159         -4.748400e-21          -5.365262e-12          5.365262e-12           8.588741e-30      
   0.025159       0.046627         2.768613e-09           -2.669974e-11          1.527582e-11           -8.249665e-15     
   0.025159       0.074585         1.575714e-08           8.426490e-12           4.151895e-11           -1.192879e-13     
   0.025159       0.108938         5.682672e-08           8.459739e-10           1.062356e-10           -9.014197e-13     
   0.025159       0.149573         1.604126e-07           6.039642e-09           2.472112e-10           -4.638342e-12     
   0.025159       0.196355         3.840541e-07           2.753570e-08           5.156111e-10           -1.813469e-11     
   0.025159       0.249129         8.135826e-07           9.709104e-08           9.640309e-10           -5.720612e-11     
   0.025159       0.307719         1.565225e-06           2.850672e-07           1.626285e-09           -1.512493e-10     
   0.025159       0.371930         2.783228e-06           7.254241e-07           2.497932e-09           -3.443897e-10     
   0.025159       0.441550         4.632328e-06           1.641933e-06           3.529641e-09           -6.899714e-10     
   0.025159       0.516347         7.284910e-06           3.367881e-06           4.638758e-09           -1.238758e-09     
   0.025159       0.596072         1.090248e-05           6.351706e-06           5.732256e-09           -2.025628e-09     
   0.025159       0.680461         1.561049e-05           1.114376e-05           6.727886e-09           -3.060654e-09     
   0.025159       0.769234         2.146534e-05           1.836266e-05           7.564569e-09           -4.327357e-09     
   0.025159       0.862094         2.841429e-05           2.864150e-05           8.201960e-09           -5.786809e-09     
   0.025159       0.958735         3.625171e-05           4.255491e-05           8.614700e-09           -7.384313e-09     
   0.025159       1.058835         4.458049e-05           6.052877e-05           8.786978e-09           -9.055948e-09     
   0.025159       1.162061         5.279178e-05           8.273723e-05           8.710407e-09           -1.073381e-08     
   0.025159       1.268071         6.007928e-05           1.089975e-04           8.385527e-09           -1.235000e-08     
   0.025159       1.376513         6.550310e-05           1.386801e-04           7.825619e-09           -1.383973e-08     
   0.025159       1.487025         6.810906e-05           1.706619e-04           7.060791e-09           -1.514398e-08     
   0.025159       1.599241         6.709303e-05           2.033497e-04           6.140044e-09           -1.621178e-08     
   0.025159       1.712789         6.197834e-05           2.348024e-04           5.129374e-09           -1.700212e-08     
   0.025159       1.827291         5.275647e-05           2.629566e-04           4.104943e-09           -1.748549e-08     
   0.025159       1.942367         3.993837e-05           2.859305e-04           3.142028e-09           -1.764533e-08     
   0.025159       2.057633         2.448375e-05           3.023453e-04           2.302376e-09           -1.747970e-08     
   0.025159       2.172709         7.615870e-06           3.115726e-04           1.623850e-09           -1.700305e-08     
   0.025159       2.287211         -9.425139e-06          3.138280e-04           1.115982e-09           -1.624754e-08     
   0.025159       2.400759         -2.561046e-05          3.100678e-04           7.630188e-10           -1.526255e-08     
   0.025159       2.512975         -4.026085e-05          3.017198e-04           5.330227e-10           -1.411120e-08     
   0.025159       2.623487         -5.306497e-05          2.903381e-04           3.892176e-10           -1.286354e-08     
   0.025159       2.731929         -6.400013e-05          2.772928e-04           2.993401e-10           -1.158753e-08     
   0.025159       2.837939         -7.321094e-05          2.635787e-04           2.404554e-10           -1.034050e-08     
   0.025159       2.941165         -8.090095e-05          2.497686e-04           1.992227e-10           -9.163522e-09     
   0.025159       3.041265         -8.726512e-05          2.360816e-04           1.693890e-10           -8.080028e-09     
   0.025159       3.137906         -9.245905e-05          2.225081e-04           1.485857e-10           -7.098354e-09     
   0.025159       3.230766         -9.658188e-05          2.089398e-04           1.357013e-10           -6.216474e-09     
   0.025159       3.319539         -9.965163e-05          1.952694e-04           1.291762e-10           -5.426999e-09     
   0.025159       3.403928         -1.015730e-04          1.814487e-04           1.261580e-10           -4.721049e-09     
   0.025159       3.483653         -1.021293e-04          1.675087e-04           1.225700e-10           -4.090495e-09     
   0.025159       3.558450         -1.010458e-04          1.535520e-04           1.142315e-10           -3.528734e-09     
   0.025159       3.628070         -9.813263e-05          1.397292e-04           9.863034e-11           -3.030533e-09     
   0.025159       3.692281         -9.342525e-05          1.262104e-04           7.612175e-11           -2.591444e-09     
   0.025159       3.750871         -8.721240e-05          1.131578e-04           4.952278e-11           -2.207187e-09     
   0.025159       3.803645         -7.993506e-05          1.007030e-04           2.250922e-11           -1.873192e-09     
   0.025159       3.850427         -7.204293e-05          8.892754e-05           -1.872958e-12          -1.584330e-09     
   0.025159       3.891062         -6.389039e-05          7.784610e-05           -2.181043e-11          -1.334786e-09     
   0.025159       3.925415         -5.568848e-05          6.738872e-05           -3.656673e-11          -1.117955e-09     
   0.025159       3.953373         -4.748617e-05          5.737285e-05           -4.600168e-11          -9.261497e-10     
   0.025159       3.974841         -3.914001e-05          4.744194e-05           -5.002813e-11          -7.497231e-10     
   0.025159       3.989750         -3.019209e-05          3.688272e-05           -4.793846e-11          -5.742078e-10     
   0.025159       3.998053         -1.924476e-05          2.380048e-05           -3.659335e-11          -3.674225e-10     
   0.025159       4.008499         -4.223821e-05          4.907157e-05           -4.065901e-11          -7.499524e-10     
   0.025159       4.044761         -7.095546e-05          7.060669e-05           6.580545e-11           -1.040795e-09     
   0.025159       4.109915         -1.003576e-04          7.800915e-05           3.166789e-10           -1.075370e-09     
   0.025159       4.203828         -1.804363e-04          7.286373e-05           1.194212e-09           -9.083513e-10     
   0.025159       4.326294         -5.180668e-04          5.633828e-05           5.544418e-09           -6.106362e-10     
   0.025159       4.477040         -4.802364e-05          3.331756e-05           5.728174e-11           -2.961133e-10     
   0.025159       4.655730         -1.577654e-05          1.318271e-05           -5.477426e-11          -8.446044e-11     
   0.025159       4.861964         -3.090776e-06          2.928929e-06           -3.084969e-11          -9.181351e-12     
   0.025159       5.095283         -5.074042e-07          4.046448e-07           -1.888306e-12          -1.361612e-12     
   0.025159       5.355166         -7.898001e-08          4.566088e-08           7.419496e-13           -4.507986e-13     
   0.025159       5.641033         -1.085233e-09          6.017691e-10           1.267199e-14           -7.051778e-15     
   0.025159       5.952247         -2.373073e-13          1.346990e-13           2.762235e-18           -1.568362e-18     
   0.025159       6.288112         -1.772201e-19          1.060902e-19           1.771297e-24           -1.064215e-24     
