#       k             kp                  U           
   0.028399       0.188220         7.534073e-09      
   0.028399       0.227742         1.757670e-08      
   0.028399       0.270694         3.626174e-08      
   0.028399       0.316959         6.799848e-08      
   0.028399       0.366414         1.178292e-07      
   0.028399       0.418925         1.907842e-07      
   0.028399       0.474351         2.909996e-07      
   0.028399       0.532541         4.207251e-07      
   0.028399       0.593339         5.793709e-07      
   0.028399       0.656582         7.627356e-07      
   0.028399       0.722098         9.625316e-07      
   0.028399       0.789711         1.166323e-06      
   0.028399       0.859239         1.358001e-06      
   0.028399       0.930495         1.518905e-06      
   0.028399       1.003286         1.629686e-06      
   0.028399       1.077416         1.672827e-06      
   0.028399       1.152685         1.635543e-06      
   0.028399       1.228890         1.512520e-06      
   0.028399       1.305826         1.307739e-06      
   0.028399       1.383286         1.034680e-06      
   0.028399       1.461060         7.145345e-07      
   0.028399       1.538940         3.726643e-07      
   0.028399       1.616714         3.420310e-08      
   0.028399       1.694174         -2.799358e-07     
   0.028399       1.771110         -5.555518e-07     
   0.028399       1.847315         -7.856611e-07     
   0.028399       1.922584         -9.693302e-07     
   0.028399       1.996714         -1.109649e-06     
   0.028399       2.069505         -1.211708e-06     
   0.028399       2.140761         -1.281112e-06     
   0.028399       2.210289         -1.323169e-06     
   0.028399       2.277902         -1.342580e-06     
   0.028399       2.343418         -1.343404e-06     
   0.028399       2.406661         -1.329133e-06     
   0.028399       2.467459         -1.302760e-06     
   0.028399       2.525649         -1.266836e-06     
   0.028399       2.581075         -1.223514e-06     
   0.028399       2.633586         -1.174581e-06     
   0.028399       2.683041         -1.121481e-06     
   0.028399       2.729306         -1.065348e-06     
   0.028399       2.772258         -1.007024e-06     
   0.028399       2.811780         -9.470797e-07     
   0.028399       2.847765         -8.858285e-07     
   0.028399       2.880118         -8.233194e-07     
   0.028399       2.908749         -7.593154e-07     
   0.028399       2.933583         -6.932468e-07     
   0.028399       2.954553         -6.240790e-07     
   0.028399       2.971601         -5.500573e-07     
   0.028399       2.984682         -4.680644e-07     
   0.028399       2.993761         -3.717347e-07     
   0.028399       2.998815         -2.430310e-07     
   0.028399       3.004739         -4.842928e-07     
   0.028399       3.024957         -7.291974e-07     
   0.028399       3.061273         -8.919301e-07     
   0.028399       3.113597         -1.003725e-06     
   0.028399       3.181789         -1.073403e-06     
   0.028399       3.265666         -1.104375e-06     
   0.028399       3.365002         -1.098827e-06     
   0.028399       3.479529         -1.059422e-06     
   0.028399       3.608938         -9.901333e-07     
   0.028399       3.752880         -8.965065e-07     
   0.028399       3.910968         -7.854926e-07     
   0.028399       4.082775         -6.649217e-07     
   0.028399       4.267838         -5.427406e-07     
   0.028399       4.465657         -4.261796e-07     
   0.028399       4.675701         -3.210222e-07     
   0.028399       4.897402         -2.311252e-07     
   0.028399       5.130163         -1.582686e-07     
   0.028399       5.373356         -1.023344e-07     
   0.028399       5.626327         -6.173906e-08     
   0.028399       5.888392         -3.399444e-08     
