#       k             kp                 U11                    U12                    U21                    U22          
   0.010250       6.647880         -4.686667e-06          2.046049e-06           4.544423e-12           -1.405702e-11     
   0.010250       7.030747         -2.253927e-06          7.014586e-07           3.988423e-12           -1.770812e-11     
   0.010250       7.435859         -4.271047e-07          -2.028496e-07          3.226170e-12           -1.887129e-11     
   0.010250       7.862313         7.962614e-07           -7.316278e-07          2.511946e-12           -1.797387e-11     
   0.010250       8.309157         1.481978e-06           -9.660864e-07          1.820478e-12           -1.574379e-11     
   0.010250       8.775393         1.738110e-06           -9.917465e-07          1.298598e-12           -1.277465e-11     
   0.010250       9.259982         1.690495e-06           -8.869560e-07          9.069899e-13           -9.577252e-12     
   0.010250       9.761842         1.460889e-06           -7.162335e-07          5.747611e-13           -6.657059e-12     
   0.010250       10.279853        1.151330e-06           -5.280220e-07          3.689746e-13           -4.360141e-12     
   0.010250       10.812859        8.358093e-07           -3.535138e-07          2.136726e-13           -2.597423e-12     
   0.010250       11.359671        5.594257e-07           -2.090592e-07          7.863180e-14           -1.325156e-12     
   0.010250       11.919069        3.427361e-07           -1.006538e-07          3.687138e-14           -5.976025e-13     
   0.010250       12.489804        1.883282e-07           -2.649336e-08          4.847114e-14           -6.347087e-14     
   0.010250       13.070603        8.810256e-08           1.974235e-08           -3.211132e-14          8.122202e-14      
   0.010250       13.660171        2.958829e-08           4.439869e-08           -4.308546e-14          2.062586e-13      
   0.010250       14.257191        -1.325187e-10          5.425769e-08           1.739590e-14           1.995940e-13      
   0.010250       14.860331        -1.212176e-08          5.536793e-08           3.078229e-14           2.152711e-13      
   0.010250       15.468245        -1.439809e-08          5.140659e-08           -2.552081e-15          1.226403e-13      
   0.010250       16.079578        -1.234741e-08          4.564911e-08           -4.976301e-14          9.175320e-14      
   0.010250       16.692964        -8.931227e-09          3.919936e-08           -1.678594e-14          4.919027e-14      
   0.010250       17.307036        -5.638068e-09          3.279070e-08           8.221596e-14           8.637993e-14      
   0.010250       17.920422        -3.196074e-09          2.773948e-08           3.304495e-14           4.471134e-14      
   0.010250       18.531755        -1.545879e-09          2.330508e-08           -5.149586e-14          -1.098464e-14     
   0.010250       19.139669        -5.772742e-10          1.979093e-08           -6.476904e-14          -1.228466e-14     
   0.010250       19.742809        -3.748755e-11          1.678667e-08           4.399128e-14           1.389173e-14      
   0.010250       20.339829        2.601260e-10           1.398988e-08           1.335278e-13           7.751408e-14      
   0.010250       20.929397        2.227917e-10           1.262723e-08           -7.116918e-14          -3.921406e-14     
   0.010250       21.510196        1.940147e-10           1.112886e-08           -1.534545e-13          -6.309695e-14     
   0.010250       22.080931        3.236705e-10           9.023179e-09           1.434175e-13           5.945210e-14      
   0.010250       22.640329        2.597117e-10           8.041096e-09           1.608151e-13           7.597089e-14      
   0.010250       23.187141        1.800934e-11           7.919441e-09           -2.883701e-13          -1.187640e-13     
   0.010250       23.720147        9.408803e-11           6.710175e-09           -3.581874e-14          -4.343525e-14     
   0.010250       24.238158        3.804985e-10           4.714007e-09           6.143170e-13           2.867808e-13      
   0.010250       24.740018        -4.295590e-11          5.722612e-09           -5.140614e-13          -1.356692e-13     
   0.010250       25.224607        -2.423186e-10          6.022456e-09           -9.465674e-13          -3.268778e-13     
   0.010250       25.690843        3.889023e-10           2.893883e-09           7.376327e-13           3.712229e-13      
   0.010250       26.137687        -5.122219e-11          4.346799e-09           -1.517424e-13          -6.134772e-14     
   0.010250       26.564141        4.995361e-11           3.377543e-09           -5.444503e-14          -1.061656e-14     
   0.010250       26.969253        9.281883e-11           2.898501e-09           1.287373e-13           6.512877e-14      
   0.010250       27.352120        -2.442951e-11          3.195983e-09           -1.081153e-13          -4.501294e-14     
   0.010250       27.711888        3.401025e-11           2.639933e-09           8.323038e-15           8.958477e-15      
   0.010250       28.047753        1.127419e-10           1.973400e-09           9.362084e-14           4.706384e-14      
   0.010250       28.358967        -4.973198e-12          2.281045e-09           -1.367016e-13          -6.555518e-14     
   0.010250       28.644834        1.150432e-10           1.584976e-09           1.671256e-13           7.459349e-14      
   0.010250       28.904717        -1.751317e-11          2.031716e-09           -5.516786e-14          -2.371662e-14     
   0.010250       29.138036        -6.660774e-11          2.068136e-09           -1.357918e-13          -6.737148e-14     
   0.010250       29.344270        3.735896e-11           1.392213e-09           6.726271e-14           3.345543e-14      
   0.010250       29.522960        6.513302e-11           1.078749e-09           1.021396e-13           4.496651e-14      
   0.010250       29.673706        1.881678e-11           1.115648e-09           -1.447038e-15          2.508225e-15      
   0.010250       29.796172        -1.262058e-11          1.097112e-09           -6.372660e-14          -2.868751e-14     
   0.010250       29.890085        -1.444584e-11          9.369616e-10           -5.746287e-14          -2.767803e-14     
   0.010250       29.955239        -8.267410e-12          7.114664e-10           -3.016278e-14          -1.413390e-14     
   0.010250       29.991501        -5.711089e-11          4.219241e-10           -1.312916e-14          -5.698555e-15     
   0.025159       0.001947         -2.274537e-08          2.859937e-15           6.084194e-13           -1.709943e-19     
   0.025159       0.010250         -1.825575e-07          6.424941e-13           4.919783e-12           -4.091191e-17     
   0.025159       0.025159         9.999994e-01           1.247404e-11           1.567969e-11           1.000000e+00      
   0.025159       0.046627         -1.206897e-06          1.050505e-10           3.734100e-11           -1.361307e-14     
   0.025159       0.074585         -2.153134e-06          6.079841e-10           8.030039e-11           -1.220311e-13     
   0.025159       0.108938         -3.407545e-06          2.854412e-09           1.659507e-10           -7.871748e-13     
   0.025159       0.149573         -4.948931e-06          1.146987e-08           3.302036e-10           -3.856997e-12     
   0.025159       0.196355         -6.718080e-06          4.002702e-08           6.212094e-10           -1.507766e-11     
   0.025159       0.249129         -8.610320e-06          1.223101e-07           1.087341e-09           -4.876649e-11     
   0.025159       0.307719         -1.047139e-05          3.305555e-07           1.756357e-09           -1.337286e-10     
   0.025159       0.371930         -1.209868e-05          7.992031e-07           2.615313e-09           -3.158493e-10     
   0.025159       0.441550         -1.324945e-05          1.748704e-06           3.605721e-09           -6.497424e-10     
   0.025159       0.516347         -1.365691e-05          3.501451e-06           4.639743e-09           -1.177384e-09     
   0.025159       0.596072         -1.305548e-05          6.482872e-06           5.624223e-09           -1.909464e-09     
   0.025159       0.680461         -1.121594e-05          1.120377e-05           6.474027e-09           -2.833184e-09     
   0.025159       0.769234         -7.990441e-06          1.822229e-05           7.117405e-09           -3.934277e-09     
   0.025159       0.862094         -3.364754e-06          2.808559e-05           7.509001e-09           -5.179953e-09     
   0.025159       0.958735         2.488375e-06           4.125565e-05           7.637451e-09           -6.474221e-09     
   0.025159       1.058835         9.167583e-06           5.802595e-05           7.502009e-09           -7.698563e-09     
   0.025159       1.162061         1.602995e-05           7.843248e-05           7.091885e-09           -8.816133e-09     
   0.025159       1.268071         2.222196e-05           1.021656e-04           6.416060e-09           -9.821689e-09     
   0.025159       1.376513         2.676392e-05           1.285046e-04           5.525940e-09           -1.061026e-08     
   0.025159       1.487025         2.869024e-05           1.563032e-04           4.474545e-09           -1.110032e-08     
   0.025159       1.599241         2.722731e-05           1.840390e-04           3.306089e-09           -1.137263e-08     
   0.025159       1.712789         2.196678e-05           2.099412e-04           2.104526e-09           -1.144925e-08     
   0.025159       1.827291         1.298651e-05           2.322074e-04           9.697269e-10           -1.123095e-08     
   0.025159       1.942367         8.793281e-07           2.492741e-04           -4.108068e-11          -1.077777e-08     
   0.025159       2.057633         -1.333733e-05          2.600727e-04           -8.800120e-10          -1.020685e-08     
   0.025159       2.172709         -2.841560e-05          2.642089e-04           -1.493947e-09          -9.456547e-09     
   0.025159       2.287211         -4.311396e-05          2.620118e-04           -1.882964e-09          -8.525184e-09     
   0.025159       2.400759         -5.640861e-05          2.544213e-04           -2.089081e-09          -7.553238e-09     
   0.025159       2.512975         -6.762481e-05          2.427543e-04           -2.145471e-09          -6.567149e-09     
