#       k             kp                 O11                    O12                    O21                    O22          
   0.010250       11.919069        -1.443192e-08          3.610894e-07           2.502706e-14           -5.376010e-13     
   0.010250       12.489804        2.917845e-11           1.358340e-09           -8.441757e-18          -1.838759e-15     
   0.010250       13.070603        1.165270e-13           2.347148e-12           -9.628122e-20          -3.000236e-18     
   0.010250       13.660171        2.922781e-17           4.647486e-16           -2.681114e-23          -5.729519e-22     
   0.010250       14.257191        3.008767e-22           4.330862e-21           -2.869559e-28          -5.205731e-27     
   0.010250       14.860331        5.032697e-29           6.923618e-28           -4.896196e-35          -8.166464e-34     
   0.010250       15.468245        4.131138e-38           5.576644e-37           -4.067097e-44          -6.481413e-43     
   0.010250       16.079578        3.802692e-50           5.108303e-49           -3.773154e-56          -5.866978e-55     
   0.010250       16.692964        6.609593e-66           8.905906e-65           -6.594593e-72          -1.012886e-70     
   0.010250       17.307036        2.623446e-86           3.561680e-85           -2.628276e-92          -4.017573e-91     
   0.010250       17.920422        2.025758e-112          2.778112e-111         -2.035965e-118         -3.111823e-117     
   0.010250       18.531755        1.810124e-145          2.510881e-144         -1.823894e-151         -2.795567e-150     
   0.010250       19.139669        7.813951e-187          1.096967e-185         -7.889941e-193         -1.214952e-191     
   0.010250       19.742809        4.885492e-238          6.941925e-237         -4.941718e-244         -7.653327e-243     
   0.010250       20.339829        9.951966e-301          1.431007e-299         -1.008171e-306         -1.571284e-305     
   0.010250       20.929397        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       21.510196        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       22.080931        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       22.640329        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       23.187141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       23.720147        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       24.238158        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       24.740018        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       25.224607        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       25.690843        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.137687        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.564141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       26.969253        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       27.352120        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       27.711888        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.047753        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.358967        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.644834        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       28.904717        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.138036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.344270        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.522960        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.673706        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.796172        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.890085        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.955239        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       29.991501        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.025159       0.001947         -3.363822e-10          -3.138990e-14          5.230906e-12           2.899797e-20      
   0.025159       0.010250         -2.265642e-09          -6.984486e-12          4.199900e-11           5.412239e-18      
   0.025159       0.025159         -5.353412e-20          -1.291640e-10          1.291640e-10           4.464264e-30      
   0.025159       0.046627         4.386266e-08           -9.552297e-10          2.796725e-10           -2.148755e-15     
   0.025159       0.074585         2.515686e-07           -4.357769e-09          5.047330e-10           -3.107024e-14     
   0.025159       0.108938         9.156487e-07           -1.469695e-08          8.154768e-10           -2.347842e-13     
   0.025159       0.149573         2.612647e-06           -4.017896e-08          1.223488e-09           -1.208057e-12     
   0.025159       0.196355         6.332856e-06           -9.386637e-08          1.739321e-09           -4.722756e-12     
   0.025159       0.249129         1.360382e-05           -1.936911e-07          2.368127e-09           -1.489532e-11     
   0.025159       0.307719         2.657531e-05           -3.610207e-07          3.103009e-09           -3.937030e-11     
   0.025159       0.371930         4.802588e-05           -6.179997e-07          3.918905e-09           -8.960549e-11     
   0.025159       0.441550         8.125020e-05           -9.847752e-07          4.770833e-09           -1.794232e-10     
   0.025159       0.516347         1.297953e-04           -1.478206e-06          5.598286e-09           -3.219459e-10     
   0.025159       0.596072         1.970366e-04           -2.113232e-06          6.334002e-09           -5.261877e-10     
   0.025159       0.680461         2.856193e-04           -2.906872e-06          6.913273e-09           -7.948329e-10     
   0.025159       0.769234         3.968363e-04           -3.883455e-06          7.280913e-09           -1.123894e-09     
   0.025159       0.862094         5.300536e-04           -5.078894e-06          7.395340e-09           -1.503846e-09     
   0.025159       0.958735         6.823199e-04           -6.541712e-06          7.230592e-09           -1.921341e-09     
   0.025159       1.058835         8.482908e-04           -8.329076e-06          6.777127e-09           -2.360775e-09     
   0.025159       1.162061         1.020552e-03           -1.049711e-05          6.041623e-09           -2.805429e-09     
   0.025159       1.268071         1.190340e-03           -1.308604e-05          5.045627e-09           -3.238222e-09     
   0.025159       1.376513         1.348569e-03           -1.610216e-05          3.822965e-09           -3.642269e-09     
   0.025159       1.487025         1.486970e-03           -1.950004e-05          2.416194e-09           -4.001426e-09     
   0.025159       1.599241         1.599121e-03           -2.316891e-05          8.727170e-10           -4.300926e-09     
   0.025159       1.712789         1.681149e-03           -2.692740e-05          -7.587205e-10          -4.528120e-09     
   0.025159       1.827291         1.731984e-03           -3.052913e-05          -2.430577e-09          -4.673293e-09     
   0.025159       1.942367         1.753130e-03           -3.367976e-05          -4.097895e-09          -4.730442e-09     
   0.025159       2.057633         1.748072e-03           -3.606373e-05          -5.718733e-09          -4.697906e-09     
   0.025159       2.172709         1.721481e-03           -3.737646e-05          -7.254137e-09          -4.578709e-09     
   0.025159       2.287211         1.678408e-03           -3.735709e-05          -8.668234e-09          -4.380530e-09     
   0.025159       2.400759         1.623634e-03           -3.581658e-05          -9.928845e-09          -4.115228e-09     
   0.025159       2.512975         1.561246e-03           -3.265752e-05          -1.100872e-08          -3.797940e-09     
   0.025159       2.623487         1.494454e-03           -2.788349e-05          -1.188717e-08          -3.445837e-09     
   0.025159       2.731929         1.425598e-03           -2.159779e-05          -1.255165e-08          -3.076674e-09     
   0.025159       2.837939         1.356281e-03           -1.399291e-05          -1.299881e-08          -2.707336e-09     
   0.025159       2.941165         1.287542e-03           -5.332958e-06          -1.323468e-08          -2.352566e-09     
   0.025159       3.041265         1.220021e-03           4.068154e-06           -1.327385e-08          -2.024028e-09     
   0.025159       3.137906         1.154106e-03           1.387000e-05           -1.313772e-08          -1.729806e-09     
   0.025159       3.230766         1.090014e-03           2.372784e-05           -1.285225e-08          -1.474344e-09     
   0.025159       3.319539         1.027858e-03           3.331161e-05           -1.244538e-08          -1.258769e-09     
   0.025159       3.403928         9.676676e-04           4.232059e-05           -1.194476e-08          -1.081481e-09     
   0.025159       3.483653         9.094026e-04           5.049286e-05           -1.137582e-08          -9.388821e-10     
   0.025159       3.558450         8.529549e-04           5.760980e-05           -1.076043e-08          -8.261200e-10     
   0.025159       3.628070         7.981451e-04           6.349626e-05           -1.011617e-08          -7.377501e-10     
   0.025159       3.692281         7.447167e-04           6.801712e-05           -9.455983e-09          -6.682625e-10     
   0.025159       3.750871         6.923273e-04           7.107114e-05           -8.788253e-09          -6.124512e-10     
   0.025159       3.803645         6.405326e-04           7.258286e-05           -8.116954e-09          -5.656310e-10     
   0.025159       3.850427         5.887578e-04           7.249222e-05           -7.441778e-09          -5.237222e-10     
   0.025159       3.891062         5.362443e-04           7.074118e-05           -6.757965e-09          -4.832236e-10     
   0.025159       3.925415         4.819469e-04           6.725375e-05           -6.055483e-09          -4.410806e-10     
   0.025159       3.953373         4.243215e-04           6.190057e-05           -5.316762e-09          -3.944174e-10     
   0.025159       3.974841         3.608241e-04           5.442090e-05           -4.510759e-09          -3.399834e-10     
   0.025159       3.989750         2.864510e-04           4.419816e-05           -3.574975e-09          -2.726848e-10     
   0.025159       3.998053         1.872383e-04           2.925470e-05           -2.334517e-09          -1.793091e-10     
   0.025159       4.008499         3.895710e-04           6.182772e-05           -4.851173e-09          -3.759919e-10     
   0.025159       4.044761         5.853169e-04           9.797142e-05           -7.255400e-09          -5.816850e-10     
   0.025159       4.109915         7.137756e-04           1.309294e-04           -8.767402e-09          -7.532581e-10     
   0.025159       4.203828         8.012467e-04           1.663323e-04           -9.696846e-09          -9.338439e-10     
   0.025159       4.326294         8.569265e-04           2.063962e-04           -1.014893e-08          -1.151614e-09     
   0.025159       4.477040         8.861986e-04           2.520814e-04           -1.019732e-08          -1.427060e-09     
   0.025159       4.655730         8.933723e-04           3.036227e-04           -9.920594e-09          -1.770134e-09     
   0.025159       4.861964         8.823163e-04           3.608171e-04           -9.404287e-09          -2.178975e-09     
   0.025159       5.095283         8.564933e-04           4.232606e-04           -8.730547e-09          -2.643000e-09     
