#       k             kp                  U           
   0.066417       2.933583         -8.943087e-05     
   0.066417       2.954553         -8.196277e-05     
   0.066417       2.971601         -7.328151e-05     
   0.066417       2.984682         -6.303636e-05     
   0.066417       2.993761         -5.043691e-05     
   0.066417       2.998815         -3.311041e-05     
   0.066417       3.004739         -6.629735e-05     
   0.066417       3.024957         -1.014554e-04     
   0.066417       3.061273         -1.276844e-04     
   0.066417       3.113597         -1.495272e-04     
   0.066417       3.181789         -1.681249e-04     
   0.066417       3.265666         -1.835778e-04     
   0.066417       3.365002         -1.955591e-04     
   0.066417       3.479529         -2.036056e-04     
   0.066417       3.608938         -2.073058e-04     
   0.066417       3.752880         -2.064276e-04     
   0.066417       3.910968         -2.009947e-04     
   0.066417       4.082775         -1.913140e-04     
   0.066417       4.267838         -1.779566e-04     
   0.066417       4.465657         -1.617040e-04     
   0.066417       4.675701         -1.434693e-04     
   0.066417       4.897402         -1.242097e-04     
