#       k             kp                  U           
   0.018933       8.579891         5.761513e-07      
   0.018933       8.735065         5.513681e-07      
   0.018933       8.882866         5.169255e-07      
   0.018933       9.022895         4.773313e-07      
   0.018933       9.154775         4.357658e-07      
   0.018933       9.278150         3.943986e-07      
   0.018933       9.392688         3.546016e-07      
   0.018933       9.498080         3.171793e-07      
   0.018933       9.594041         2.824971e-07      
   0.018933       9.680314         2.506100e-07      
   0.018933       9.756665         2.213504e-07      
   0.018933       9.822889         1.943619e-07      
   0.018933       9.878807         1.691185e-07      
   0.018933       9.924269         1.448873e-07      
   0.018933       9.959152         1.205796e-07      
   0.018933       9.983362         9.427621e-08      
   0.018933       9.996840         6.108769e-08      
   0.030298       0.000790         -1.646019e-09     
   0.030298       0.004159         -1.321177e-08     
   0.030298       0.010212         -4.052952e-08     
   0.030298       0.018933         -8.705735e-08     
   0.030298       0.030298         9.999998e-01      
   0.030298       0.044278         -2.409755e-07     
   0.030298       0.060834         -3.416254e-07     
   0.030298       0.079922         -4.447923e-07     
   0.030298       0.101490         -5.309596e-07     
   0.030298       0.125480         -5.704296e-07     
   0.030298       0.151828         -5.213988e-07     
   0.030298       0.180462         -3.285197e-07     
   0.030298       0.211306         7.774522e-08      
   0.030298       0.244276         7.806894e-07      
   0.030298       0.279283         1.875620e-06      
   0.030298       0.316234         3.466670e-06      
   0.030298       0.355027         5.662131e-06      
   0.030298       0.395559         8.568389e-06      
   0.030298       0.437721         1.228264e-05      
   0.030298       0.481399         1.688462e-05      
   0.030298       0.526474         2.242768e-05      
   0.030298       0.572826         2.892966e-05      
   0.030298       0.620330         3.636411e-05      
   0.030298       0.668857         4.465264e-05      
   0.030298       0.718277         5.365943e-05      
   0.030298       0.768456         6.318889e-05      
   0.030298       0.819260         7.298773e-05      
   0.030298       0.870551         8.275231e-05      
   0.030298       0.922191         9.214181e-05      
   0.030298       0.974040         1.007971e-04      
   0.030298       1.025960         1.083640e-04      
   0.030298       1.077809         1.145196e-04      
   0.030298       1.129449         1.189979e-04      
   0.030298       1.180740         1.216123e-04      
   0.030298       1.231544         1.222717e-04      
   0.030298       1.281723         1.209874e-04      
   0.030298       1.331143         1.178704e-04      
   0.030298       1.379670         1.131190e-04      
   0.030298       1.427174         1.069979e-04      
   0.030298       1.473526         9.981410e-05      
   0.030298       1.518601         9.189027e-05      
   0.030298       1.562279         8.354077e-05      
   0.030298       1.604441         7.505241e-05      
   0.030298       1.644973         6.667108e-05      
   0.030298       1.683766         5.859482e-05      
   0.030298       1.720717         5.097245e-05      
   0.030298       1.755724         4.390655e-05      
   0.030298       1.788694         3.745923e-05      
   0.030298       1.819538         3.165922e-05      
   0.030298       1.848172         2.650913e-05      
   0.030298       1.874520         2.199213e-05      
   0.030298       1.898510         1.807752e-05      
   0.030298       1.920078         1.472501e-05      
   0.030298       1.939166         1.188767e-05      
   0.030298       1.955722         9.513519e-06      
   0.030298       1.969702         7.545629e-06      
   0.030298       1.981067         5.920157e-06      
   0.030298       1.989788         4.560293e-06      
   0.030298       1.995841         3.358391e-06      
   0.030298       1.999210         2.099703e-06      
   0.030298       2.003160         3.960134e-06      
   0.030298       2.016638         4.809764e-06      
   0.030298       2.040848         3.339464e-06      
   0.030298       2.075731         -4.017720e-07     
   0.030298       2.121193         -6.322629e-06     
   0.030298       2.177111         -1.417807e-05     
   0.030298       2.243335         -2.357367e-05     
   0.030298       2.319686         -3.400131e-05     
   0.030298       2.405959         -4.488455e-05     
   0.030298       2.501920         -5.562399e-05     
   0.030298       2.607312         -6.564177e-05     
   0.030298       2.721850         -7.442507e-05     
   0.030298       2.845225         -8.156308e-05     
   0.030298       2.977105         -8.677079e-05     
   0.030298       3.117134         -8.989800e-05     
   0.030298       3.264935         -9.092586e-05     
   0.030298       3.420109         -8.995355e-05     
   0.030298       3.582238         -8.717753e-05     
   0.030298       3.750884         -8.286612e-05     
   0.030298       3.925594         -7.733237e-05     
   0.030298       4.105897         -7.090779e-05     
   0.030298       4.291305         -6.391917e-05     
   0.030298       4.481320         -5.666983e-05     
   0.030298       4.675429         -4.942614e-05     
   0.030298       4.873108         -4.240920e-05     
   0.030298       5.073826         -3.579133e-05     
   0.030298       5.277040         -2.969661e-05     
   0.030298       5.482203         -2.420425e-05     
   0.030298       5.688763         -1.935412e-05     
   0.030298       5.896161         -1.515322e-05     
   0.030298       6.103839         -1.158262e-05     
   0.030298       6.311237         -8.604118e-06     
   0.030298       6.517797         -6.166427e-06     
   0.030298       6.722960         -4.210504e-06     
   0.030298       6.926174         -2.673969e-06     
   0.030298       7.126892         -1.494658e-06     
   0.030298       7.324571         -6.132628e-07     
   0.030298       7.518680         2.483806e-08      
   0.030298       7.708695         4.684467e-07      
   0.030298       7.894103         7.599981e-07      
   0.030298       8.074406         9.354761e-07      
   0.030298       8.249116         1.024673e-06      
   0.030298       8.417762         1.051688e-06      
   0.030298       8.579891         1.035574e-06      
   0.030298       8.735065         9.910354e-07      
   0.030298       8.882866         9.291331e-07      
   0.030298       9.022895         8.579693e-07      
   0.030298       9.154775         7.832616e-07      
   0.030298       9.278150         7.089088e-07      
   0.030298       9.392688         6.373779e-07      
   0.030298       9.498080         5.701146e-07      
   0.030298       9.594041         5.077761e-07      
   0.030298       9.680314         4.504615e-07      
   0.030298       9.756665         3.978691e-07      
   0.030298       9.822889         3.493587e-07      
   0.030298       9.878807         3.039848e-07      
   0.030298       9.924269         2.604305e-07      
   0.030298       9.959152         2.167382e-07      
   0.030298       9.983362         1.694588e-07      
   0.030298       9.996840         1.098024e-07      
   0.044278       0.000790         -2.705038e-09     
   0.044278       0.004159         -2.171220e-08     
   0.044278       0.010212         -6.660966e-08     
   0.044278       0.018933         -1.430995e-07     
   0.044278       0.030298         -2.537144e-07     
   0.044278       0.044278         9.999996e-01      
   0.044278       0.060834         -5.627740e-07     
   0.044278       0.079922         -7.342202e-07     
   0.044278       0.101490         -8.795767e-07     
   0.044278       0.125480         -9.512324e-07     
   0.044278       0.151828         -8.821359e-07     
   0.044278       0.180462         -5.834839e-07     
   0.044278       0.211306         5.632116e-08      
   0.044278       0.244276         1.170983e-06      
   0.044278       0.279283         2.913525e-06      
   0.044278       0.316234         5.451172e-06      
   0.044278       0.355027         8.957872e-06      
   0.044278       0.395559         1.360456e-05      
   0.044278       0.437721         1.954747e-05      
   0.044278       0.481399         2.691484e-05      
   0.044278       0.526474         3.579261e-05      
   0.044278       0.572826         4.620975e-05      
   0.044278       0.620330         5.812419e-05      
   0.044278       0.668857         7.141056e-05      
   0.044278       0.718277         8.585130e-05      
   0.044278       0.768456         1.011330e-04      
   0.044278       0.819260         1.168495e-04      
   0.044278       0.870551         1.325141e-04      
   0.044278       0.922191         1.475800e-04      
   0.044278       0.974040         1.614711e-04      
   0.044278       1.025960         1.736193e-04      
   0.044278       1.077809         1.835060e-04      
   0.044278       1.129449         1.907042e-04      
   0.044278       1.180740         1.949140e-04      
   0.044278       1.231544         1.959886e-04      
   0.044278       1.281723         1.939456e-04      
   0.044278       1.331143         1.889624e-04      
   0.044278       1.379670         1.813564e-04      
   0.044278       1.427174         1.715522e-04      
   0.044278       1.473526         1.600418e-04      
   0.044278       1.518601         1.473425e-04      
   0.044278       1.562279         1.339587e-04      
   0.044278       1.604441         1.203506e-04      
   0.044278       1.644973         1.069128e-04      
   0.044278       1.683766         9.396307e-05      
   0.044278       1.720717         8.174037e-05      
   0.044278       1.755724         7.040946e-05      
   0.044278       1.788694         6.007014e-05      
   0.044278       1.819538         5.076864e-05      
   0.044278       1.848172         4.250928e-05      
   0.044278       1.874520         3.526516e-05      
   0.044278       1.898510         2.898711e-05      
   0.044278       1.920078         2.361055e-05      
   0.044278       1.939166         1.906025e-05      
   0.044278       1.955722         1.525286e-05      
   0.044278       1.969702         1.209711e-05      
   0.044278       1.981067         9.490612e-06      
   0.044278       1.989788         7.310207e-06      
   0.044278       1.995841         5.383293e-06      
   0.044278       1.999210         3.365598e-06      
   0.044278       2.003160         6.347428e-06      
   0.044278       2.016638         7.707939e-06      
   0.044278       2.040848         5.348119e-06      
   0.044278       2.075731         -6.537627e-07     
   0.044278       2.121193         -1.015133e-05     
   0.044278       2.177111         -2.275155e-05     
   0.044278       2.243335         -3.782176e-05     
   0.044278       2.319686         -5.454694e-05     
   0.044278       2.405959         -7.200250e-05     
   0.044278       2.501920         -8.922711e-05     
   0.044278       2.607312         -1.052940e-04     
   0.044278       2.721850         -1.193806e-04     
   0.044278       2.845225         -1.308283e-04     
   0.044278       2.977105         -1.391799e-04     
   0.044278       3.117134         -1.441945e-04     
   0.044278       3.264935         -1.458420e-04     
   0.044278       3.420109         -1.442815e-04     
   0.044278       3.582238         -1.398282e-04     
   0.044278       3.750884         -1.329123e-04     
   0.044278       3.925594         -1.240360e-04     
   0.044278       4.105897         -1.137310e-04     
   0.044278       4.291305         -1.025215e-04     
   0.044278       4.481320         -9.089388e-05     
   0.044278       4.675429         -7.927542e-05     
